№; region;customer; type; receiver;win; model; ;final price; trades date
1;Владимирская область;ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ ВЛАДИМИРСКОЙ ОБЛАСТИ;;ППМ;;;;отменен;13.01.2020 10:42
2;Москва;"ФГБУ ""НМИЦ РК"" МИНЗДРАВА РОССИИ";АПР;ППМ;Ренмедпром;Дельта ;1;6 444 526,68;09.01.2020 11:06
3;Воронежская область;УРКС ВО;АПР;ППЭ;МТЛ;МобиРен-5-МТ;1;11 550 000,00;16.01.2020 9:00
4;Омская область;ФГБУЗ ЗСМЦ ФМБА РОССИИ;КРТ;ППД2;Спектр АП;КРД-СМ 50/125-1;1;20 308 360,00;16.01.2020 11:15
5;Костромская область;"ОГКУ ""АГЗКО""";М;ППС;МТЛ;Маммо-5МТ;1;29 000 000,00;14.01.2020 10:55
6;Мурманская область;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ МУРМАНСКОЙ ОБЛАСТИ;КРД-2;ППС;Адани;УНИЭКСПЕРТ 2 плюс;1;7 941 000,00;15.01.2020 9:15
7;Мурманская область;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ МУРМАНСКОЙ ОБЛАСТИ;КРД-2;ППС;Адани;УНИЭКСПЕРТ 2 плюс;1;7 941 000,00;15.01.2020 9:15
8;Владимирская область;ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ ВЛАДИМИРСКОЙ ОБЛАСТИ;;УРИ+ППМ;;;;отменен;14.01.2020 11:23
9;Санкт-Петербург;АДМИНИСТРАЦИЯ НЕВСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;КРД-2;ППМ;Гелпик;РЕНЕКС2;1;14 000 000,00;20.01.2020 10:50
10;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;АПР;ППМ;Listem;Listem;1;7 480 000,00;20.01.2020 9:06
11;Костромская область;"ОГКУ ""АГЗКО""";КТ;64;GE;Revolution EVO;1;50 035 000,00;14.01.2020 12:00
